taxonUUID,TT_tfNameCode,taxonRank,TT_scientificName,TT_speciesKey
aa166fb6-ac03-4d0c-8790-1d59ebc08a27,,species,Cosmarium botrytis Hong,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Desmidiaceae-Cosmarium-botrytis-Cosmarium botrytis Hong
761d647d-6bbb-45ae-87fe-596e432cc4aa,,species,Cosmarium formosulum Schmidle,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Desmidiaceae-Cosmarium-formosulum-Cosmarium formosulum Schmidle
af8022e8-4b2b-4d99-8fe0-93800280b89e,,species,Cosmarium granatum Breb.,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Desmidiaceae-Cosmarium-granatum-Cosmarium granatum Breb.
a82bc43b-e11d-432c-833c-cc3c9cecc8c5,,species,Cosmarium laeve Rabenhorst,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Desmidiaceae-Cosmarium-laeve-Cosmarium laeve Rabenhorst
1dd488a1-635b-456e-93b9-3d38d8d291ac,,species,Cosmarium margaritatum (Lundell) Roy & Bisset,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Desmidiaceae-Cosmarium-margaritatum-Cosmarium margaritatum (Lundell) Roy & Bisset
38d9a8fe-4214-4cdd-a139-092bfab3e194,,species,Cosmarium moerlianum,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Desmidiaceae-Cosmarium-moerlianum-Cosmarium moerlianum
ba033b1c-2231-465d-99c2-980f76f65eff,,infraspecies,Cosmarium moerlianum var. brasiliense Borge,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Desmidiaceae-Cosmarium-moerlianum-brasiliense-Cosmarium moerlianum var. brasiliense Borge
bdb274ca-910e-48c5-ac01-dfe1230ea145,,species,Cosmarium morum Bory,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Desmidiaceae-Cosmarium-morum-Cosmarium morum Bory
b724f7fb-7617-4e61-89be-497489ad4728,,species,Cosmarium punctulatum Brebisson,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Desmidiaceae-Cosmarium-punctulatum-Cosmarium punctulatum Brebisson
570c4150-4928-4191-ab29-ddfb385ab2f3,,infraspecies,Cosmarium punctulatum var. subpunctulatum (Nordst) Borg,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Desmidiaceae-Cosmarium-punctulatum-subpunctulatum-Cosmarium punctulatum var. subpunctulatum (Nordst) Borg
d5bf2b2b-2c88-4287-a0f7-8c48e87cbd54,,species,Cosmarium quadrum Lundell,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Desmidiaceae-Cosmarium-quadrum-Cosmarium quadrum Lundell
b7c269d7-5b91-4079-a9bd-2816a627ce85,,species,Cosmarium sportella Brebisson,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Desmidiaceae-Cosmarium-sportella-Cosmarium sportella Brebisson
bcc5b306-5eaf-4508-a3d9-b50b3fbaa0dc,,infraspecies,Cosmarium sportella var. sportella Yamagishi,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Desmidiaceae-Cosmarium-sportella-sportella-Cosmarium sportella var. sportella Yamagishi
bd97628d-f5e4-47d0-a144-096167a02984,,species,Cosmarium subcrenatum Hantzsch,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Desmidiaceae-Cosmarium-subcrenatum-Cosmarium subcrenatum Hantzsch
d9372dbb-6d72-4602-a8e4-2120cd4e280b,,species,Cosmarium subgranatum,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Desmidiaceae-Cosmarium-subgranatum-Cosmarium subgranatum
b34f05f9-ac38-4fd6-9964-d9d88f5d8411,,infraspecies,Cosmarium subgranatum var. borgei Krieger,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Desmidiaceae-Cosmarium-subgranatum-borgei-Cosmarium subgranatum var. borgei Krieger
9cb953d5-833a-4e43-85d4-aa33535e25d9,,species,Penium margaritaceum (Ehrenberg) Brebisson,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Desmidiaceae-Penium-margaritaceum-Penium margaritaceum (Ehrenberg) Brebisson
8401fbb8-3847-4abf-b20f-308322df6979,,species,Spirogyra spreeiana Rabenh.,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Zygnemataceae-Spirogyra-spreeiana-Spirogyra spreeiana Rabenh.
e656060c-d321-4ea1-a4d6-260aefe03a8e,,species,Hyaloraphidium contotum Pascher & Korschikoff,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyceae-Chlorococcales-Oocystaceae-Hyaloraphidium-contotum-Hyaloraphidium contotum Pascher & Korschikoff
d54b7441-4571-4a3a-87de-3c887df082ca,,species,Cylindrocystis crassa de Bary,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Mesotaeniaceae-Cylindrocystis-crassa-Cylindrocystis crassa de Bary
39f589ce-599a-44e0-9a18-4c60bd7e0d42,,species,Mougeotia parvula Hass.,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Zygnemataceae-Mougeotia-parvula-Mougeotia parvula Hass.
ce0990f8-25e6-41fb-9024-1b44651e58d5,,species,Rhizoclonium hieroglyphicum (Ag.) Kützing,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Cladophorales-Cladophoraceae-Rhizoclonium-hieroglyphicum-Rhizoclonium hieroglyphicum (Ag.) Kützing
375e1acb-4a8e-4831-a6c1-2a41644cc95e,,order,Bryopsidales,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Bryopsidales-Bryopsidales
d266f398-b3a7-46b7-9d3e-9b226a8372d3,,family,Udoteaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Bryopsidales-Udoteaceae-Udoteaceae
2df7cbfe-3b6c-44fb-8b61-5d8b96fdfdfd,,genus,Tydemania,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Bryopsidales-Udoteaceae-Tydemania-Tydemania
9ba89b56-7794-4f56-9726-5f43733b3b9e,,phylum,Rhodophyta,Plantae-Rhodophyta-Rhodophyta
14715afe-c46e-42b6-9052-dcdc19c3d0bc,,class,Florideophyceae,Plantae-Rhodophyta-Florideophyceae-Florideophyceae
7310d57a-5ee4-4775-8207-d1ee0a565996,,order,Ceramiales,Plantae-Rhodophyta-Florideophyceae-Ceramiales-Ceramiales
2384097a-635c-42df-a89c-6b746f8bac22,,family,Rhodomelaceae,Plantae-Rhodophyta-Florideophyceae-Ceramiales-Rhodomelaceae-Rhodomelaceae
b7bfe221-18d8-42c6-a779-31bb710ab0f7,,genus,Chondria,Plantae-Rhodophyta-Florideophyceae-Ceramiales-Rhodomelaceae-Chondria-Chondria
9c4ffcee-9b00-497b-a40e-b89c67fb8d71,,order,Nemaliales,Plantae-Rhodophyta-Florideophyceae-Nemaliales-Nemaliales
94959409-e5ac-4daa-ab7b-5519e52e7252,,family,Liagoraceae,Plantae-Rhodophyta-Florideophyceae-Nemaliales-Liagoraceae-Liagoraceae
1b490559-113c-45d9-ac33-5492d0bdf9d1,,genus,Ganonema,Plantae-Rhodophyta-Florideophyceae-Nemaliales-Liagoraceae-Ganonema-Ganonema
7857ecde-c1d6-4770-ab3f-b82d52f5327c,C303120303050205040712008000500001000,species,Rhytidiadelphus triquetrus (Hedw.) Warnst. ,Plantae-Viridiplantae-Streptophyta-Embryophyta-Bryophytina-Bryophytes*-Bryopsida-Bryidae-Hypnales-Hylocomiaceae-Rhytidiadelphus-triquetrus-Rhytidiadelphus triquetrus (Hedw.) Warnst. 
885353db-4aa8-4b4f-87e8-1cd9b3006519,C303120303050402050519002000100013002,infraspecies,Aechmea ×hybrida 'Array',Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Poales-Bromeliaceae-Aechmea-×hybrida-'Array'-Aechmea ×hybrida 'Array'
81a49d92-4b03-4ed6-a57f-621a66f3a519,C303120303050402050533008000100024000,species,Begonia × albopicta Regel ex Regel,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Cucurbitales-Begoniaceae-Begonia-× albopicta-Begonia × albopicta Regel ex Regel
a4cc4655-4246-46d5-80f2-04ad9df08040,C303120303050402050533008000100019000,species,Begonia × chungii C.I Peng & S.M.Ku,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Cucurbitales-Begoniaceae-Begonia-× chungii-Begonia × chungii C.I Peng & S.M.Ku
9fe38111-3ab5-4c60-b773-32a78dfeffcb,C303120303050402050533008000100014000,species,Begonia × semperflorens-cultorum Anon.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Cucurbitales-Begoniaceae-Begonia-× semperflorens-cultorum-Begonia × semperflorens-cultorum Anon.
185087d1-35ab-4a6b-9b33-8c8160ef4468,C303120303050402050533008000100020000,species,Begonia × taipeiensis C.I Peng,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Cucurbitales-Begoniaceae-Begonia-× taipeiensis-Begonia × taipeiensis C.I Peng
56e58a9e-8ba4-41e2-9da9-ac8828e4e18b,,family,Pyramimonadaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Pyramimonadophyceae-Pyramimonadales-Pyramimonadaceae-Pyramimonadaceae
e104613a-1f2e-4c9d-8710-aa687535a3ee,,class,Chlorodendrophyceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorodendrophyceae-Chlorodendrophyceae
01566f2e-b5c1-44f1-9fbd-e4ae75c9ca3b,,order,Chlorodendrales,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorodendrophyceae-Chlorodendrales-Chlorodendrales
a20b7f0f-b54e-4314-9e36-71e38b152700,,family,Chlorodendraceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorodendrophyceae-Chlorodendrales-Chlorodendraceae-Chlorodendraceae
7d39b2fa-545a-4e91-8899-9c92185d177a,,species,"Tetraselmis marina (Cienkowski) R.E.Norris, Hori & Chihara","Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorodendrophyceae-Chlorodendrales-Chlorodendraceae-Tetraselmis-marina-Tetraselmis marina (Cienkowski) R.E.Norris, Hori & Chihara"
006af90e-6505-4337-9086-c9beb4974a92,,order,Acrochaetiales,Plantae-Rhodophyta-Florideophyceae-Acrochaetiales-Acrochaetiales
f3fa9043-410b-464d-8770-5dc01f1e7367,,family,Acrochaetiaceae,Plantae-Rhodophyta-Florideophyceae-Acrochaetiales-Acrochaetiaceae-Acrochaetiaceae
d20d6737-8749-4665-a97f-bac2b698b13d,,genus,Acrochaetium,Plantae-Rhodophyta-Florideophyceae-Acrochaetiales-Acrochaetiaceae-Acrochaetium-Acrochaetium
9d76c4fa-6158-458c-b944-e522181d7a5a,,order,Trebouxiales,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Trebouxiophyceae-Trebouxiales-Trebouxiales
4679022a-3d7f-42f6-9bf0-3c9631f7e310,,class,Pyramimonadophyceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Pyramimonadophyceae-Pyramimonadophyceae
43fd292b-d3e7-4311-9540-5326b3627890,C303120303050402060000000000000000000,class,Euphyllophytes classis incertae sedis,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Euphyllophytes classis incertae sedis-Euphyllophytes classis incertae sedis
f90ee25c-5143-40e0-8522-679f59595673,C303120303050402060100000000000000000,subclass,Euphyllophytes subclassis incertae sedis,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Euphyllophytes classis incertae sedis-Euphyllophytes subclassis incertae sedis-Euphyllophytes subclassis incertae sedis
1df45c6e-9b6f-499c-8cfb-ad7524f49469,C303120303050402060101000000000000000,order,Euphyllophytes ordo incertae sedis,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Euphyllophytes classis incertae sedis-Euphyllophytes subclassis incertae sedis-Euphyllophytes ordo incertae sedis-Euphyllophytes ordo incertae sedis
ae9f7e22-26cd-4e30-a788-e380bdabcbb0,C303120303050402060101001000000000000,family,Euphyllophytes familia incertae sedis,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Euphyllophytes classis incertae sedis-Euphyllophytes subclassis incertae sedis-Euphyllophytes ordo incertae sedis-Euphyllophytes familia incertae sedis-Euphyllophytes familia incertae sedis
b7d03fe1-5230-4e0c-8c1e-d7bdb5aa8dd4,C303120303050402060101001000100000000,genus,Pecopteris,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Euphyllophytes classis incertae sedis-Euphyllophytes subclassis incertae sedis-Euphyllophytes ordo incertae sedis-Euphyllophytes familia incertae sedis-Pecopteris-Pecopteris
03f7513a-087a-415a-b72e-66fd96376201,,order,Gigartinales,Plantae-Rhodophyta-Florideophyceae-Gigartinales-Gigartinales
d8f475b1-4b15-4fe9-ac79-8dd4a199f057,,family,Phyllophoraceae,Plantae-Rhodophyta-Florideophyceae-Gigartinales-Phyllophoraceae-Phyllophoraceae
38434328-b9b3-49b1-b4bc-2d75cf7f17d2,,genus,Ahnfeltiopsis,Plantae-Rhodophyta-Florideophyceae-Gigartinales-Phyllophoraceae-Ahnfeltiopsis-Ahnfeltiopsis
447443ec-207c-4889-877f-8f8578fbef03,,species,"Ahnfeltiopsis flabelliformis (Harvey) Masuda, 1993","Plantae-Rhodophyta-Florideophyceae-Gigartinales-Phyllophoraceae-Ahnfeltiopsis-flabelliformis-Ahnfeltiopsis flabelliformis (Harvey) Masuda, 1993"
2ce6c8a6-a774-4bac-ba18-6ca6a7048b92,,order,Corallinales,Plantae-Rhodophyta-Florideophyceae-Corallinales-Corallinales
910d860d-11a2-42a1-8600-e5a002729468,,family,Lithophyllaceae,Plantae-Rhodophyta-Florideophyceae-Corallinales-Lithophyllaceae-Lithophyllaceae
797fa3a4-90b3-4cb2-adf4-59572fd87207,,genus,Amphiroa,Plantae-Rhodophyta-Florideophyceae-Corallinales-Lithophyllaceae-Amphiroa-Amphiroa
97465a75-83d3-449b-858b-7a7c5b86a7bb,,species,Amphiroa fragilissima (Linnaeus) J.V.Lamouroux 1816,Plantae-Rhodophyta-Florideophyceae-Corallinales-Lithophyllaceae-Amphiroa-fragilissima-Amphiroa fragilissima (Linnaeus) J.V.Lamouroux 1816
edbca36c-f407-4983-ac0b-2eb151f09d43,,family,Dichotomosiphonaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Bryopsidales-Dichotomosiphonaceae-Dichotomosiphonaceae
d2d80f64-835f-4246-bd03-9cccd932ed7b,,genus,Avrainvillea,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Bryopsidales-Dichotomosiphonaceae-Avrainvillea-Avrainvillea
c88b0fd2-4a7b-4c4c-9193-9b4fc224e972,,species,"Avrainvillea erecta (Berkeley) A. Gepp & E. S. Gepp, 1911","Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Bryopsidales-Dichotomosiphonaceae-Avrainvillea-erecta-Avrainvillea erecta (Berkeley) A. Gepp & E. S. Gepp, 1911"
1bdd098a-e733-4dd7-94ff-7fd943429848,,class,Bangiophyceae,Plantae-Rhodophyta-Bangiophyceae-Bangiophyceae
1f3a38e7-3b9f-480e-9bc8-641a921e546a,,order,Bangiales,Plantae-Rhodophyta-Bangiophyceae-Bangiales-Bangiales
1b96becd-3579-4260-8fb8-54062ee87f77,,family,Bangiaceae,Plantae-Rhodophyta-Bangiophyceae-Bangiales-Bangiaceae-Bangiaceae
74956ac0-1916-4847-a7b9-2905cf5e425e,,genus,Bangia,Plantae-Rhodophyta-Bangiophyceae-Bangiales-Bangiaceae-Bangia-Bangia
876d2c00-86c1-422e-85e5-17373033e465,,species,"Bangia atropurpurea (Roth) C. Agardh, 1824","Plantae-Rhodophyta-Bangiophyceae-Bangiales-Bangiaceae-Bangia-atropurpurea-Bangia atropurpurea (Roth) C. Agardh, 1824"
d9d1b20a-a62f-4ecf-8d71-7cbd55b1f281,,family,Caulacanthaceae,Plantae-Rhodophyta-Florideophyceae-Gigartinales-Caulacanthaceae-Caulacanthaceae
7ac4c59b-3a02-4200-a766-a58784f3a977,,genus,Caulacanthus,Plantae-Rhodophyta-Florideophyceae-Gigartinales-Caulacanthaceae-Caulacanthus-Caulacanthus
7c8eec66-7f08-48ac-8190-1c4445ff136c,,species,Caulacanthus okamurae Yamada,Plantae-Rhodophyta-Florideophyceae-Gigartinales-Caulacanthaceae-Caulacanthus-okamurae-Caulacanthus okamurae Yamada
c16e3c04-c517-4784-9a48-4c61ba2ebb2d,,order,Desmidiales,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Desmidiales-Desmidiales
62975737-a341-4bc6-b060-687df2db5a55,,order,Sphaeropleales,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Chlorophyceae-Sphaeropleales-Sphaeropleales
794e86ea-d169-43d8-bf4d-9bf0619bc104,,family,Codiaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Bryopsidales-Codiaceae-Codiaceae
d1a6fb16-445b-4493-b09a-62866c013ea6,,genus,Codium,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Bryopsidales-Codiaceae-Codium-Codium
8baf1ab3-189b-4a29-94f6-38f9af3f76f7,,species,"Codium fragile (Suringar) Hariot, 1889","Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Bryopsidales-Codiaceae-Codium-fragile-Codium fragile (Suringar) Hariot, 1889"
187eaa0d-9df6-4066-ac61-24746cb1cf03,,genus,Euastrum,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Desmidiaceae-Euastrum-Euastrum
c9b4b4cf-59a9-4a4b-a7bf-34c2dd75f1fe,,species,Euastrum sinuosum,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Desmidiaceae-Euastrum-sinuosum-Euastrum sinuosum
80ed5264-c108-4770-97db-7387113daa02,,infraspecies,Euastrum sinuosum var. perforatum Krieger,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Zygnematophyceae-Zygnematales-Desmidiaceae-Euastrum-sinuosum-perforatum-Euastrum sinuosum var. perforatum Krieger
1ff5c161-9a9a-4ac6-bf30-d399926ed2a9,C303120303050402050530002007400006000,species,"Mucuna oui P.H.Chen, A.C.Chung, Sheng Z.Yang & C.C.Wang","Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Fabales-Fabaceae-Mucuna-oui-Mucuna oui P.H.Chen, A.C.Chung, Sheng Z.Yang & C.C.Wang"
6966ef1a-e73a-47a3-ba99-b3f99c3015e6,C303120303050402060101001000100001000,species,Pecopteris cyathea (Schloth.) Brongn.,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Euphyllophytes classis incertae sedis-Euphyllophytes subclassis incertae sedis-Euphyllophytes ordo incertae sedis-Euphyllophytes familia incertae sedis-Pecopteris-cyathea-Pecopteris cyathea (Schloth.) Brongn.
622e2ede-a05a-4e07-9d0e-95b0c6607612,,order,Bonnemaisoniales,Plantae-Rhodophyta-Florideophyceae-Bonnemaisoniales-Bonnemaisoniales
2aff302c-4d30-4cd8-a6ef-407243660c15,,family,Bonnemaisoniaceae,Plantae-Rhodophyta-Florideophyceae-Bonnemaisoniales-Bonnemaisoniaceae-Bonnemaisoniaceae
47b26af4-8aeb-4ef8-86f3-03d077be7942,,genus,Asparagopsis,Plantae-Rhodophyta-Florideophyceae-Bonnemaisoniales-Bonnemaisoniaceae-Asparagopsis-Asparagopsis
17d2f8f0-3601-4ad9-87eb-322179ce5f91,,species,Asparagopsis taxiformis  (Delile) Trevisan de Saint-Léon 1845,Plantae-Rhodophyta-Florideophyceae-Bonnemaisoniales-Bonnemaisoniaceae-Asparagopsis-taxiformis-Asparagopsis taxiformis  (Delile) Trevisan de Saint-Léon 1845
d21fd3f8-359f-4a83-83c0-49d0c89979ec,,family,Mastophoraceae,Plantae-Rhodophyta-Florideophyceae-Corallinales-Mastophoraceae-Mastophoraceae
11e1534f-d015-4c64-8aad-678932d4ad35,,genus,Mastophora,Plantae-Rhodophyta-Florideophyceae-Corallinales-Mastophoraceae-Mastophora-Mastophora
0a165648-211b-4d68-af6a-81174f62673e,,species,Mastophora rosea (C.Agardh) Setchell 1943,Plantae-Rhodophyta-Florideophyceae-Corallinales-Mastophoraceae-Mastophora-rosea-Mastophora rosea (C.Agardh) Setchell 1943
4fd16dfb-30d9-47ce-8fe3-7c2f75f51586,,family,Caulerpaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Bryopsidales-Caulerpaceae-Caulerpaceae
595767c6-8c96-43b9-aabc-60b526c30ab1,,genus,Caulerpa,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Bryopsidales-Caulerpaceae-Caulerpa-Caulerpa
655ac58d-8dd6-4c3f-99ea-d7c621582c62,,species,Caulerpa racemosa (Forssk.) J.Agardh,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Bryopsidales-Caulerpaceae-Caulerpa-racemosa-Caulerpa racemosa (Forssk.) J.Agardh
4e0df673-e5aa-4ee7-8da2-6db32b655362,,family,Dumontiaceae,Plantae-Rhodophyta-Florideophyceae-Gigartinales-Dumontiaceae-Dumontiaceae
166dd2ae-0654-4655-8c2d-d1381e8360e8,,genus,Dudresnaya,Plantae-Rhodophyta-Florideophyceae-Gigartinales-Dumontiaceae-Dudresnaya-Dudresnaya
62a52e56-fc0b-40ba-82c3-5943095c3594,,species,Dudresnaya japonica Okamura 1902,Plantae-Rhodophyta-Florideophyceae-Gigartinales-Dumontiaceae-Dudresnaya-japonica-Dudresnaya japonica Okamura 1902
b7fd78c0-78be-4ff3-b1fc-c4290d8b9a24,,order,Acrosymphytales,Plantae-Rhodophyta-Florideophyceae-Acrosymphytales-Acrosymphytales
5a595c77-cbfe-4a81-9a9d-c1ff9bcc6c55,,family,Schimmelmanniaceae,Plantae-Rhodophyta-Florideophyceae-Acrosymphytales-Schimmelmanniaceae-Schimmelmanniaceae
4b8ec0a8-506e-4dc5-b527-0b17c6ec8a87,,genus,Hypnea,Plantae-Rhodophyta-Florideophyceae-Acrosymphytales-Schimmelmanniaceae-Hypnea-Hypnea
0154a6b3-5db0-4bd9-acf5-2406ae47cf26,,species,Hypnea pannosa J.Agardh 1847,Plantae-Rhodophyta-Florideophyceae-Acrosymphytales-Schimmelmanniaceae-Hypnea-pannosa-Hypnea pannosa J.Agardh 1847
a3d10c9b-607d-4f1c-b9d5-ae59c3165fba,,family,Valoniaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Cladophorales-Valoniaceae-Valoniaceae
c8306873-f3b5-4de5-88a3-d280a6711898,,genus,Valoniopsis,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Cladophorales-Valoniaceae-Valoniopsis-Valoniopsis
5b2f11f7-56c6-462e-8075-3a962da6e5f8,,species,Valoniopsis pachynema (G.Martens) Børgesen 1934,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Cladophorales-Valoniaceae-Valoniopsis-pachynema-Valoniopsis pachynema (G.Martens) Børgesen 1934
38ff5ecc-6f80-460a-bdce-42f3f30a6afd,,family,Siphonocladaceae,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Cladophorales-Siphonocladaceae-Siphonocladaceae
fb56846d-d09e-41fd-b42d-07a737a3c7d1,,genus,Dictyosphaeria,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Cladophorales-Siphonocladaceae-Dictyosphaeria-Dictyosphaeria
1ab92d16-7eeb-4634-b6ea-03e094f81dc1,,species,Dictyosphaeria cavernosa (Forsskål) Børgesen 1932,Plantae-Viridiplantae-Chlorophytes-Chlorophyta-Ulvophyceae-Cladophorales-Siphonocladaceae-Dictyosphaeria-cavernosa-Dictyosphaeria cavernosa (Forsskål) Børgesen 1932
fd232276-4805-47ce-9045-c604e00a6878,,family,Gigartinaceae,Plantae-Rhodophyta-Florideophyceae-Gigartinales-Gigartinaceae-Gigartinaceae
1eaf964d-be08-47ae-a0f1-35db6490e3bb,,genus,Chondrus,Plantae-Rhodophyta-Florideophyceae-Gigartinales-Gigartinaceae-Chondrus-Chondrus
adad12dc-9613-476e-b412-37e391fcba48,C303120303050402050536027000200002002,infraspecies,Passiflora foetida var. hispida (DC. ex Triana & Planch.) Killip,Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Malpighiales-Passifloraceae-Passiflora-foetida-hispida-Passiflora foetida var. hispida (DC. ex Triana & Planch.) Killip
8ea2f55c-1de8-4375-b15f-bbc76894f0dd,C303120303050402050549021003300025001,infraspecies,Rhododendron × pulchrum 'Big Purple',Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Rhododendron-× pulchrum-'Big Purple'-Rhododendron × pulchrum 'Big Purple'
3fbadc15-5309-4b31-8136-459e9aec368a,C303120303050402050549021003300025002,infraspecies,Rhododendron × pulchrum 'Shu',Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Rhododendron-× pulchrum-'Shu'-Rhododendron × pulchrum 'Shu'
3a2379af-82ae-4354-8953-8a3094a983da,C303120303050402050549021003300025003,infraspecies,Rhododendron × pulchrum 'Baimiao',Plantae-Viridiplantae-Streptophyta-Embryophyta-Tracheophytina-Euphyllophytes-Spermatopsida-Magnoliidae-Ericales-Ericaceae-Rhododendron-× pulchrum-'Baimiao'-Rhododendron × pulchrum 'Baimiao'
